area;planta;Tratamento;bruchinae;lep_sp1;lep_sp2;lep_sp3;lep_sp4;lep_sp5;diptera_sp1;formicidae_sp2;formicidae_sp3;coleoptera_sp1;coleoptera_sp2;blattaria_sp1;hy_sp1;hy_sp2;hy_sp3;hy_sp4;hy_sp5;hy_sp6;hy_sp7;hy_sp8;hy_sp9;hy_sp10;hy_sp11;hy_sp12;hy_sp13;hy_sp14;hy_sp15;hy_sp16;hy_sp17
A2;F04;F;5;2;0;1;0;0;0;0;0;0;0;0;1;0;1;4;1;0;0;0;0;0;0;0;0;0;0;0;0
A2;F05;F;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A2;F06;F;28;2;2;0;0;0;14;0;0;0;0;2;18;1;0;1;6;0;0;0;0;0;0;0;0;0;0;0;0
A2;F07;F;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A2;F08;F;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A2;F09;F;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
A2;F10;F;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A2;P01;C;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A2;P02;C;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A2;P03;C;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0
A2;P04;C;21;58;3;5;0;0;0;0;0;0;0;0;1;2;0;0;34;1;0;0;0;0;0;0;1;10;0;0;0
A2;P05;C;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A2;P06;C;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A2;P07;C;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A2;P08;C;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0
A2;P09;C;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A2;P10;C;3;4;2;3;0;0;2;0;0;0;0;0;1;0;0;5;3;0;0;0;0;0;0;0;0;0;0;0;0
A2;PF01;CF;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A2;PF02;CF;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A2;PF03;CF;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A2;PF04;CF;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A2;PF05;CF;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A2;PF06;CF;4;41;2;1;0;0;5;0;0;0;0;0;1;2;1;0;3;0;0;0;0;0;0;0;0;0;0;0;0
A2;PF07;CF;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A2;PF08;CF;4;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
A2;PF09;CF;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A2;PF10;CF;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
