area;tratamento;planta;condensed_g_1g_plant;totalphenols_g_1g_plant;hydrolyzable_g_1g_plant;media_carbs_totais;media_prots_totais;gords_totais;biofruto;area_semente;number_seed_avalability;hy_sp2;hy_sp3;hy_sp4;hy_sp5;hy_sp6;hy_sp7;hy_sp8;hy_sp9;hy_sp10;hy_sp11;hy_sp12;hy_sp13;hy_sp14;hy_sp15;hy_sp16;hy_sp17
A2;C;P04;;;;;;;;;;2;0;0;34;1;0;0;0;0;0;0;1;10;0;0;0
A2;C;P05;;;;;;;;;;;;;;;;;;;;;;;;;
A2;C;P06;0.42;0;0.01;;;;1.44;14.07;4;;;;;;;;;;;;;;;;
A2;C;P07;0.28;0;0;;;;;;;;;;;;;;;;;;;;;;
A2;C;P08;0.46;0;0.01;;;;1.34;;6;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0
A2;C;P09;0.31;0;0;0.26;0.21;0.01;2.22;17.93;1.8;;;;;;;;;;;;;;;;
A2;C;P10;0.32;0;0;0.29;0.21;0.01;4.64;30.4;10.81;0;0;5;3;0;0;0;0;0;0;0;0;0;0;0;0
A2;CF;PF01;0.22;0;0;0.27;0.21;0.01;3.71;14.12;4.5;;;;;;;;;;;;;;;;
A2;CF;PF02;;;;;;;;;;;;;;;;;;;;;;;;;
A2;CF;PF03;;;;;;;;;;;;;;;;;;;;;;;;;
A2;CF;PF04;;;;;;;;;;;;;;;;;;;;;;;;;
A2;CF;PF05;0.36;0;0;;;;;;;;;;;;;;;;;;;;;;
A2;CF;PF06;;;;;;;;;;2;1;0;3;0;0;0;0;0;0;0;0;0;0;0;0
A2;CF;PF07;0.3;0;0.01;;;;;;;;;;;;;;;;;;;;;;
A2;CF;PF08;;;;;;;;;;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
A2;CF;PF09;0.24;0;0;;;;;;;;;;;;;;;;;;;;;;
A2;CF;PF10;0.18;0;0.01;;;;;;;;;;;;;;;;;;;;;;
